"date";"county_code";"N";"N_prev"
2020-03-03;"county03";0;0
2020-03-04;"county03";0;0
2020-03-05;"county03";0;0
2020-03-06;"county03";0;1
2020-03-07;"county03";0;1
2020-03-08;"county03";0;2
2020-03-09;"county03";0;3
2020-03-10;"county03";1;4
2020-03-11;"county03";2;6
2020-03-12;"county03";1;4
2020-03-13;"county03";0;5
2020-03-14;"county03";4;4
2020-03-15;"county03";1;4
2020-03-16;"county03";3;8
2020-03-17;"county03";2;10
2020-03-18;"county03";3;15
2020-03-19;"county03";8;24
2020-03-20;"county03";9;30
2020-03-21;"county03";13;39
2020-03-22;"county03";9;42
2020-03-23;"county03";21;45
2020-03-24;"county03";15;51
2020-03-25;"county03";13;62
2020-03-26;"county03";17;70
2020-03-27;"county03";12;70
2020-03-28;"county03";14;79
2020-03-29;"county03";8;79
2020-03-30;"county03";15;74
2020-03-31;"county03";17;70
2020-04-01;"county03";17;69
2020-04-02;"county03";15;76
2020-04-03;"county03";30;78
2020-04-04;"county03";24;79
2020-04-05;"county03";18;80
2020-04-06;"county03";25;64
2020-04-07;"county03";24;57
2020-04-08;"county03";26;58
2020-04-09;"county03";28;55
2020-04-10;"county03";22;47
2020-04-11;"county03";26;50
2020-04-12;"county03";28;42
2020-04-13;"county03";24;45
2020-04-14;"county03";32;48
2020-04-15;"county03";30;44
2020-04-16;"county03";26;38
2020-04-17;"county03";36;40
2020-04-18;"county03";25;38
2020-04-19;"county03";32;41
2020-04-20;"county03";34;35
2020-04-21;"county03";15;32
2020-04-22;"county03";36;29
2020-04-23;"county03";40;27
2020-04-24;"county03";36;29
2020-04-25;"county03";30;31
2020-04-26;"county03";25;36
2020-04-27;"county03";32;37
2020-04-28;"county03";22;39
2020-04-29;"county03";24;30
2020-04-30;"county03";25;22
2020-05-01;"county03";27;22
2020-05-02;"county03";13;21
2020-05-03;"county03";23;19
2020-05-04;"county03";23;17
2020-05-05;"county03";17;15
2020-05-06;"county03";17;15
2020-05-07;"county03";17;13
2020-05-08;"county03";16;13
2020-05-09;"county03";8;11
2020-05-10;"county03";12;13
2020-05-11;"county03";3;14
2020-05-12;"county03";15;14
2020-05-13;"county03";16;16
2020-05-14;"county03";8;15
2020-05-15;"county03";15;13
2020-05-16;"county03";7;13
2020-05-17;"county03";4;13
2020-05-18;"county03";5;16
2020-05-19;"county03";8;16
2020-05-20;"county03";4;14
2020-05-21;"county03";6;14
2020-05-22;"county03";3;11
2020-05-23;"county03";5;12
2020-05-24;"county03";7;11
2020-05-25;"county03";6;10
2020-05-26;"county03";5;9
2020-05-27;"county03";0;8
2020-05-28;"county03";4;8
2020-05-29;"county03";1;7
2020-05-30;"county03";3;8
2020-05-31;"county03";4;9
2020-06-01;"county03";3;10
2020-06-02;"county03";2;9
2020-06-03;"county03";0;9
2020-06-04;"county03";2;8
2020-06-05;"county03";1;7
2020-06-06;"county03";0;7
2020-06-07;"county03";1;6
2020-06-08;"county03";1;5
2020-06-09;"county03";2;6
2020-06-10;"county03";2;5
2020-06-11;"county03";3;7
2020-06-12;"county03";1;8
2020-06-13;"county03";0;7
2020-06-14;"county03";0;7
2020-06-15;"county03";0;8
2020-06-16;"county03";0;7
2020-06-17;"county03";0;6
2020-06-18;"county03";1;6
2020-06-19;"county03";0;7
2020-06-20;"county03";0;7
2020-06-21;"county03";1;5
2020-06-22;"county03";2;6
2020-06-23;"county03";0;6
2020-06-24;"county03";0;8
2020-06-25;"county03";1;7
2020-06-26;"county03";1;5
2020-06-27;"county03";0;4
2020-06-28;"county03";0;7
2020-06-29;"county03";0;6
2020-06-30;"county03";0;5
2020-07-01;"county03";0;4
2020-07-02;"county03";1;3
2020-07-03;"county03";0;2
2020-07-04;"county03";0;1
2020-07-05;"county03";0;1
2020-07-06;"county03";0;1
2020-07-07;"county03";0;1
2020-07-08;"county03";0;1
2020-07-09;"county03";0;1
2020-07-10;"county03";0;1
2020-07-11;"county03";0;2
2020-07-12;"county03";0;2
2020-07-13;"county03";0;2
2020-07-14;"county03";1;2
2020-07-15;"county03";0;2
2020-07-16;"county03";0;4
2020-07-17;"county03";0;4
2020-07-18;"county03";0;4
2020-07-19;"county03";0;3
2020-07-20;"county03";0;3
2020-07-21;"county03";0;2
2020-07-22;"county03";0;1
2020-07-23;"county03";0;1
2020-07-24;"county03";0;3
2020-07-25;"county03";0;4
2020-07-26;"county03";0;4
2020-07-27;"county03";0;3
2020-07-28;"county03";0;3
2020-07-29;"county03";0;3
2020-07-30;"county03";0;2
2020-07-31;"county03";0;2
2020-08-01;"county03";0;2
2020-08-02;"county03";0;2
2020-08-03;"county03";0;2
2020-08-04;"county03";0;1
2020-08-05;"county03";0;1
2020-08-06;"county03";0;1
2020-08-07;"county03";0;1
2020-08-08;"county03";0;1
2020-08-09;"county03";0;3
2020-08-10;"county03";0;3
2020-08-11;"county03";0;2
2020-08-12;"county03";1;2
2020-08-13;"county03";0;2
2020-08-14;"county03";0;3
2020-08-15;"county03";1;5
2020-08-16;"county03";1;4
2020-08-17;"county03";0;4
2020-08-18;"county03";0;3
2020-08-19;"county03";1;3
2020-08-20;"county03";1;3
2020-08-21;"county03";1;4
2020-08-22;"county03";0;5
2020-08-23;"county03";0;5
2020-08-24;"county03";0;4
2020-08-25;"county03";0;4
2020-08-26;"county03";1;4
2020-08-27;"county03";0;4
2020-08-28;"county03";1;3
2020-08-29;"county03";0;3
2020-08-30;"county03";0;3
2020-08-31;"county03";0;3
2020-09-01;"county03";1;3
2020-09-02;"county03";0;5
2020-09-03;"county03";0;6
2020-09-04;"county03";0;6
2020-09-05;"county03";0;6
2020-09-06;"county03";0;6
2020-09-07;"county03";0;6
2020-09-08;"county03";0;6
2020-09-09;"county03";0;5
2020-09-10;"county03";0;7
2020-09-11;"county03";0;7
2020-09-12;"county03";0;6
2020-09-13;"county03";0;5
2020-09-14;"county03";0;5
2020-09-15;"county03";1;4
2020-09-16;"county03";0;6
2020-09-17;"county03";0;5
2020-09-18;"county03";0;3
2020-09-19;"county03";0;5
2020-09-20;"county03";0;5
2020-09-21;"county03";0;8
2020-09-22;"county03";0;7
2020-09-23;"county03";0;7
2020-09-24;"county03";0;8
2020-09-25;"county03";0;8
2020-09-26;"county03";0;8
2020-09-27;"county03";0;11
2020-09-28;"county03";0;12
2020-09-29;"county03";0;13
2020-09-30;"county03";0;9
2020-10-01;"county03";0;12
2020-03-03;"county11";0;0
2020-03-04;"county11";0;0
2020-03-05;"county11";0;0
2020-03-06;"county11";0;0
2020-03-07;"county11";0;0
2020-03-08;"county11";0;0
2020-03-09;"county11";0;0
2020-03-10;"county11";0;0
2020-03-11;"county11";0;0
2020-03-12;"county11";0;1
2020-03-13;"county11";0;1
2020-03-14;"county11";0;1
2020-03-15;"county11";1;2
2020-03-16;"county11";0;7
2020-03-17;"county11";3;7
2020-03-18;"county11";0;6
2020-03-19;"county11";0;9
2020-03-20;"county11";1;12
2020-03-21;"county11";6;12
2020-03-22;"county11";4;11
2020-03-23;"county11";5;16
2020-03-24;"county11";5;17
2020-03-25;"county11";7;17
2020-03-26;"county11";7;16
2020-03-27;"county11";7;13
2020-03-28;"county11";2;14
2020-03-29;"county11";3;12
2020-03-30;"county11";3;11
2020-03-31;"county11";6;13
2020-04-01;"county11";3;13
2020-04-02;"county11";3;14
2020-04-03;"county11";6;14
2020-04-04;"county11";3;14
2020-04-05;"county11";10;12
2020-04-06;"county11";6;6
2020-04-07;"county11";5;5
2020-04-08;"county11";11;6
2020-04-09;"county11";8;6
2020-04-10;"county11";2;7
2020-04-11;"county11";9;8
2020-04-12;"county11";3;7
2020-04-13;"county11";11;7
2020-04-14;"county11";9;6
2020-04-15;"county11";5;6
2020-04-16;"county11";5;4
2020-04-17;"county11";5;4
2020-04-18;"county11";4;5
2020-04-19;"county11";7;5
2020-04-20;"county11";5;5
2020-04-21;"county11";5;5
2020-04-22;"county11";2;5
2020-04-23;"county11";7;4
2020-04-24;"county11";6;3
2020-04-25;"county11";6;3
2020-04-26;"county11";6;3
2020-04-27;"county11";8;3
2020-04-28;"county11";3;3
2020-04-29;"county11";6;3
2020-04-30;"county11";8;2
2020-05-01;"county11";2;2
2020-05-02;"county11";4;2
2020-05-03;"county11";5;2
2020-05-04;"county11";6;2
2020-05-05;"county11";2;2
2020-05-06;"county11";3;2
2020-05-07;"county11";1;2
2020-05-08;"county11";3;2
2020-05-09;"county11";6;2
2020-05-10;"county11";5;2
2020-05-11;"county11";1;2
2020-05-12;"county11";4;2
2020-05-13;"county11";3;2
2020-05-14;"county11";2;2
2020-05-15;"county11";1;2
2020-05-16;"county11";2;2
2020-05-17;"county11";3;2
2020-05-18;"county11";1;1
2020-05-19;"county11";0;1
2020-05-20;"county11";2;1
2020-05-21;"county11";0;1
2020-05-22;"county11";3;1
2020-05-23;"county11";2;1
2020-05-24;"county11";3;1
2020-05-25;"county11";2;1
2020-05-26;"county11";0;1
2020-05-27;"county11";2;1
2020-05-28;"county11";1;1
2020-05-29;"county11";1;1
2020-05-30;"county11";0;1
2020-05-31;"county11";0;1
2020-06-01;"county11";1;1
2020-06-02;"county11";1;1
2020-06-03;"county11";1;1
2020-06-04;"county11";0;1
2020-06-05;"county11";0;1
2020-06-06;"county11";0;1
2020-06-07;"county11";1;1
2020-06-08;"county11";2;1
2020-06-09;"county11";0;1
2020-06-10;"county11";1;1
2020-06-11;"county11";1;1
2020-06-12;"county11";0;1
2020-06-13;"county11";1;1
2020-06-14;"county11";0;1
2020-06-15;"county11";0;1
2020-06-16;"county11";0;1
2020-06-17;"county11";2;1
2020-06-18;"county11";0;1
2020-06-19;"county11";1;1
2020-06-20;"county11";0;1
2020-06-21;"county11";3;1
2020-06-22;"county11";1;1
2020-06-23;"county11";0;1
2020-06-24;"county11";0;1
2020-06-25;"county11";1;1
2020-06-26;"county11";0;1
2020-06-27;"county11";0;1
2020-06-28;"county11";0;1
2020-06-29;"county11";0;1
2020-06-30;"county11";2;1
2020-07-01;"county11";0;1
2020-07-02;"county11";0;1
2020-07-03;"county11";0;1
2020-07-04;"county11";0;1
2020-07-05;"county11";0;1
2020-07-06;"county11";1;1
2020-07-07;"county11";1;1
2020-07-08;"county11";0;1
2020-07-09;"county11";0;1
2020-07-10;"county11";0;1
2020-07-11;"county11";1;1
2020-07-12;"county11";2;1
2020-07-13;"county11";0;1
2020-07-14;"county11";0;2
2020-07-15;"county11";0;2
2020-07-16;"county11";0;2
2020-07-17;"county11";0;2
2020-07-18;"county11";2;2
2020-07-19;"county11";0;2
2020-07-20;"county11";0;2
2020-07-21;"county11";0;2
2020-07-22;"county11";0;2
2020-07-23;"county11";0;1
2020-07-24;"county11";0;1
2020-07-25;"county11";0;1
2020-07-26;"county11";1;1
2020-07-27;"county11";0;0
2020-07-28;"county11";0;0
2020-07-29;"county11";0;0
2020-07-30;"county11";0;0
2020-07-31;"county11";0;0
2020-08-01;"county11";0;0
2020-08-02;"county11";0;0
2020-08-03;"county11";0;0
2020-08-04;"county11";0;0
2020-08-05;"county11";0;0
2020-08-06;"county11";1;0
2020-08-07;"county11";0;0
2020-08-08;"county11";0;0
2020-08-09;"county11";0;0
2020-08-10;"county11";0;0
2020-08-11;"county11";0;0
2020-08-12;"county11";0;0
2020-08-13;"county11";0;0
2020-08-14;"county11";1;0
2020-08-15;"county11";0;0
2020-08-16;"county11";1;0
2020-08-17;"county11";1;0
2020-08-18;"county11";0;0
2020-08-19;"county11";0;0
2020-08-20;"county11";0;0
2020-08-21;"county11";0;0
2020-08-22;"county11";0;0
2020-08-23;"county11";1;0
2020-08-24;"county11";0;0
2020-08-25;"county11";0;0
2020-08-26;"county11";0;0
2020-08-27;"county11";0;0
2020-08-28;"county11";1;0
2020-08-29;"county11";1;0
2020-08-30;"county11";0;0
2020-08-31;"county11";0;0
2020-09-01;"county11";0;0
2020-09-02;"county11";0;0
2020-09-03;"county11";0;0
2020-09-04;"county11";0;0
2020-09-05;"county11";0;0
2020-09-06;"county11";1;0
2020-09-07;"county11";0;0
2020-09-08;"county11";1;0
2020-09-09;"county11";0;0
2020-09-10;"county11";0;0
2020-09-11;"county11";0;0
2020-09-12;"county11";0;1
2020-09-13;"county11";0;1
2020-09-14;"county11";1;0
2020-09-15;"county11";0;0
2020-09-16;"county11";0;0
2020-09-17;"county11";0;0
2020-09-18;"county11";0;0
2020-09-19;"county11";0;0
2020-09-20;"county11";0;1
2020-09-21;"county11";0;1
2020-09-22;"county11";0;1
2020-09-23;"county11";0;2
2020-09-24;"county11";0;3
2020-09-25;"county11";0;3
2020-09-26;"county11";0;3
2020-09-27;"county11";0;2
2020-09-28;"county11";0;3
2020-09-29;"county11";0;3
2020-09-30;"county11";0;4
2020-10-01;"county11";0;5
2020-03-03;"county15";0;0
2020-03-04;"county15";0;0
2020-03-05;"county15";0;0
2020-03-06;"county15";0;0
2020-03-07;"county15";0;0
2020-03-08;"county15";0;0
2020-03-09;"county15";0;0
2020-03-10;"county15";0;0
2020-03-11;"county15";0;0
2020-03-12;"county15";1;0
2020-03-13;"county15";0;0
2020-03-14;"county15";0;0
2020-03-15;"county15";0;0
2020-03-16;"county15";1;1
2020-03-17;"county15";0;1
2020-03-18;"county15";0;1
2020-03-19;"county15";1;1
2020-03-20;"county15";1;2
2020-03-21;"county15";0;2
2020-03-22;"county15";0;2
2020-03-23;"county15";1;2
2020-03-24;"county15";0;2
2020-03-25;"county15";0;2
2020-03-26;"county15";1;3
2020-03-27;"county15";1;3
2020-03-28;"county15";0;3
2020-03-29;"county15";4;4
2020-03-30;"county15";0;4
2020-03-31;"county15";1;4
2020-04-01;"county15";1;4
2020-04-02;"county15";2;5
2020-04-03;"county15";1;5
2020-04-04;"county15";2;5
2020-04-05;"county15";2;5
2020-04-06;"county15";4;6
2020-04-07;"county15";1;6
2020-04-08;"county15";3;6
2020-04-09;"county15";1;7
2020-04-10;"county15";1;8
2020-04-11;"county15";0;6
2020-04-12;"county15";0;5
2020-04-13;"county15";1;5
2020-04-14;"county15";3;4
2020-04-15;"county15";0;6
2020-04-16;"county15";5;6
2020-04-17;"county15";2;5
2020-04-18;"county15";2;5
2020-04-19;"county15";4;5
2020-04-20;"county15";2;5
2020-04-21;"county15";2;5
2020-04-22;"county15";3;6
2020-04-23;"county15";1;5
2020-04-24;"county15";3;4
2020-04-25;"county15";3;4
2020-04-26;"county15";1;3
2020-04-27;"county15";0;2
2020-04-28;"county15";5;2
2020-04-29;"county15";2;2
2020-04-30;"county15";3;1
2020-05-01;"county15";2;1
2020-05-02;"county15";2;1
2020-05-03;"county15";1;1
2020-05-04;"county15";3;1
2020-05-05;"county15";2;1
2020-05-06;"county15";0;1
2020-05-07;"county15";2;1
2020-05-08;"county15";2;1
2020-05-09;"county15";3;1
2020-05-10;"county15";2;3
2020-05-11;"county15";1;3
2020-05-12;"county15";1;3
2020-05-13;"county15";0;3
2020-05-14;"county15";0;1
2020-05-15;"county15";1;1
2020-05-16;"county15";1;1
2020-05-17;"county15";0;1
2020-05-18;"county15";1;1
2020-05-19;"county15";1;1
2020-05-20;"county15";0;1
2020-05-21;"county15";1;1
2020-05-22;"county15";0;1
2020-05-23;"county15";0;1
2020-05-24;"county15";2;1
2020-05-25;"county15";0;1
2020-05-26;"county15";2;1
2020-05-27;"county15";0;1
2020-05-28;"county15";0;1
2020-05-29;"county15";0;1
2020-05-30;"county15";1;1
2020-05-31;"county15";0;1
2020-06-01;"county15";0;1
2020-06-02;"county15";0;1
2020-06-03;"county15";1;1
2020-06-04;"county15";1;1
2020-06-05;"county15";0;1
2020-06-06;"county15";0;1
2020-06-07;"county15";0;1
2020-06-08;"county15";0;1
2020-06-09;"county15";1;1
2020-06-10;"county15";0;1
2020-06-11;"county15";0;1
2020-06-12;"county15";0;1
2020-06-13;"county15";0;1
2020-06-14;"county15";1;1
2020-06-15;"county15";0;1
2020-06-16;"county15";0;1
2020-06-17;"county15";1;1
2020-06-18;"county15";0;1
2020-06-19;"county15";1;1
2020-06-20;"county15";0;1
2020-06-21;"county15";0;1
2020-06-22;"county15";0;1
2020-06-23;"county15";0;1
2020-06-24;"county15";1;1
2020-06-25;"county15";0;1
2020-06-26;"county15";0;1
2020-06-27;"county15";0;1
2020-06-28;"county15";1;1
2020-06-29;"county15";0;1
2020-06-30;"county15";0;1
2020-07-01;"county15";0;1
2020-07-02;"county15";0;1
2020-07-03;"county15";0;0
2020-07-04;"county15";0;0
2020-07-05;"county15";0;0
2020-07-06;"county15";0;0
2020-07-07;"county15";0;0
2020-07-08;"county15";0;0
2020-07-09;"county15";0;0
2020-07-10;"county15";0;0
2020-07-11;"county15";0;0
2020-07-12;"county15";0;0
2020-07-13;"county15";0;0
2020-07-14;"county15";0;0
2020-07-15;"county15";0;0
2020-07-16;"county15";0;0
2020-07-17;"county15";0;0
2020-07-18;"county15";0;0
2020-07-19;"county15";0;0
2020-07-20;"county15";0;0
2020-07-21;"county15";0;0
2020-07-22;"county15";0;0
2020-07-23;"county15";0;0
2020-07-24;"county15";0;0
2020-07-25;"county15";0;0
2020-07-26;"county15";0;0
2020-07-27;"county15";0;0
2020-07-28;"county15";0;0
2020-07-29;"county15";0;0
2020-07-30;"county15";0;0
2020-07-31;"county15";0;0
2020-08-01;"county15";0;0
2020-08-02;"county15";0;0
2020-08-03;"county15";1;0
2020-08-04;"county15";0;0
2020-08-05;"county15";0;0
2020-08-06;"county15";0;0
2020-08-07;"county15";0;0
2020-08-08;"county15";0;0
2020-08-09;"county15";0;0
2020-08-10;"county15";0;0
2020-08-11;"county15";0;0
2020-08-12;"county15";1;0
2020-08-13;"county15";0;0
2020-08-14;"county15";0;0
2020-08-15;"county15";0;1
2020-08-16;"county15";0;1
2020-08-17;"county15";0;0
2020-08-18;"county15";1;0
2020-08-19;"county15";0;0
2020-08-20;"county15";0;0
2020-08-21;"county15";0;0
2020-08-22;"county15";0;0
2020-08-23;"county15";1;0
2020-08-24;"county15";0;0
2020-08-25;"county15";0;0
2020-08-26;"county15";1;0
2020-08-27;"county15";0;0
2020-08-28;"county15";0;0
2020-08-29;"county15";0;0
2020-08-30;"county15";0;0
2020-08-31;"county15";0;0
2020-09-01;"county15";0;0
2020-09-02;"county15";0;0
2020-09-03;"county15";0;0
2020-09-04;"county15";0;0
2020-09-05;"county15";0;0
2020-09-06;"county15";0;0
2020-09-07;"county15";0;0
2020-09-08;"county15";0;0
2020-09-09;"county15";0;0
2020-09-10;"county15";0;0
2020-09-11;"county15";0;0
2020-09-12;"county15";0;0
2020-09-13;"county15";0;0
2020-09-14;"county15";0;0
2020-09-15;"county15";0;0
2020-09-16;"county15";0;0
2020-09-17;"county15";0;0
2020-09-18;"county15";0;0
2020-09-19;"county15";0;0
2020-09-20;"county15";0;0
2020-09-21;"county15";0;0
2020-09-22;"county15";0;0
2020-09-23;"county15";0;0
2020-09-24;"county15";0;0
2020-09-25;"county15";0;0
2020-09-26;"county15";0;0
2020-09-27;"county15";0;0
2020-09-28;"county15";0;0
2020-09-29;"county15";0;0
2020-09-30;"county15";0;0
2020-10-01;"county15";0;0
2020-03-03;"county18";0;0
2020-03-04;"county18";0;0
2020-03-05;"county18";0;0
2020-03-06;"county18";0;0
2020-03-07;"county18";0;0
2020-03-08;"county18";0;0
2020-03-09;"county18";0;0
2020-03-10;"county18";0;0
2020-03-11;"county18";0;0
2020-03-12;"county18";1;0
2020-03-13;"county18";1;0
2020-03-14;"county18";0;0
2020-03-15;"county18";0;0
2020-03-16;"county18";0;1
2020-03-17;"county18";0;2
2020-03-18;"county18";0;2
2020-03-19;"county18";0;1
2020-03-20;"county18";0;1
2020-03-21;"county18";0;1
2020-03-22;"county18";1;1
2020-03-23;"county18";2;1
2020-03-24;"county18";0;1
2020-03-25;"county18";0;1
2020-03-26;"county18";0;2
2020-03-27;"county18";2;2
2020-03-28;"county18";0;2
2020-03-29;"county18";1;2
2020-03-30;"county18";1;2
2020-03-31;"county18";0;3
2020-04-01;"county18";0;3
2020-04-02;"county18";2;4
2020-04-03;"county18";5;4
2020-04-04;"county18";0;4
2020-04-05;"county18";2;4
2020-04-06;"county18";1;5
2020-04-07;"county18";1;5
2020-04-08;"county18";1;6
2020-04-09;"county18";1;6
2020-04-10;"county18";1;6
2020-04-11;"county18";1;6
2020-04-12;"county18";2;6
2020-04-13;"county18";1;6
2020-04-14;"county18";1;5
2020-04-15;"county18";0;5
2020-04-16;"county18";3;5
2020-04-17;"county18";2;5
2020-04-18;"county18";0;5
2020-04-19;"county18";5;5
2020-04-20;"county18";1;5
2020-04-21;"county18";3;3
2020-04-22;"county18";2;3
2020-04-23;"county18";0;3
2020-04-24;"county18";2;3
2020-04-25;"county18";0;3
2020-04-26;"county18";2;3
2020-04-27;"county18";4;2
2020-04-28;"county18";2;2
2020-04-29;"county18";3;1
2020-04-30;"county18";1;1
2020-05-01;"county18";0;1
2020-05-02;"county18";1;1
2020-05-03;"county18";0;1
2020-05-04;"county18";2;1
2020-05-05;"county18";1;1
2020-05-06;"county18";1;1
2020-05-07;"county18";2;1
2020-05-08;"county18";2;1
2020-05-09;"county18";3;1
2020-05-10;"county18";0;1
2020-05-11;"county18";3;0
2020-05-12;"county18";1;0
2020-05-13;"county18";0;0
2020-05-14;"county18";1;0
2020-05-15;"county18";1;0
2020-05-16;"county18";0;0
2020-05-17;"county18";0;0
2020-05-18;"county18";0;0
2020-05-19;"county18";1;0
2020-05-20;"county18";1;0
2020-05-21;"county18";0;0
2020-05-22;"county18";0;0
2020-05-23;"county18";1;0
2020-05-24;"county18";1;0
2020-05-25;"county18";2;0
2020-05-26;"county18";0;0
2020-05-27;"county18";1;0
2020-05-28;"county18";1;0
2020-05-29;"county18";0;0
2020-05-30;"county18";1;0
2020-05-31;"county18";0;0
2020-06-01;"county18";0;0
2020-06-02;"county18";0;0
2020-06-03;"county18";0;0
2020-06-04;"county18";0;0
2020-06-05;"county18";0;0
2020-06-06;"county18";0;0
2020-06-07;"county18";1;0
2020-06-08;"county18";0;0
2020-06-09;"county18";0;0
2020-06-10;"county18";0;0
2020-06-11;"county18";0;0
2020-06-12;"county18";0;0
2020-06-13;"county18";1;0
2020-06-14;"county18";0;0
2020-06-15;"county18";0;0
2020-06-16;"county18";0;0
2020-06-17;"county18";0;0
2020-06-18;"county18";1;0
2020-06-19;"county18";0;0
2020-06-20;"county18";0;0
2020-06-21;"county18";0;0
2020-06-22;"county18";0;0
2020-06-23;"county18";1;0
2020-06-24;"county18";0;0
2020-06-25;"county18";0;0
2020-06-26;"county18";0;0
2020-06-27;"county18";0;0
2020-06-28;"county18";0;0
2020-06-29;"county18";0;0
2020-06-30;"county18";0;0
2020-07-01;"county18";0;0
2020-07-02;"county18";0;0
2020-07-03;"county18";0;0
2020-07-04;"county18";0;0
2020-07-05;"county18";0;0
2020-07-06;"county18";0;0
2020-07-07;"county18";0;0
2020-07-08;"county18";0;0
2020-07-09;"county18";0;0
2020-07-10;"county18";0;0
2020-07-11;"county18";0;0
2020-07-12;"county18";0;0
2020-07-13;"county18";0;1
2020-07-14;"county18";0;1
2020-07-15;"county18";0;1
2020-07-16;"county18";0;1
2020-07-17;"county18";0;0
2020-07-18;"county18";1;0
2020-07-19;"county18";0;0
2020-07-20;"county18";0;0
